0 T X,10,1285.8,67.1,1966,2031,478106823,1670,19
10 LP,10,1154.0,68.55,1705,1705,33544044,1820,15
100000111111,10,1154.0,27.9,422,457,179638913,,1
10HP but HC,10,1154.0,4.65,240,240,969495,,1
10HP Michael,10,1286.8,116.1,2723,2847,996093969,3145,119
10hp to Prif,15,2596.6,121.55,2853,2925,856137891,17400,404
11 hpp,11,1494.6,114.35,2531,2600,745038187,2285,40
111111111131,10,1154.0,67.1,234,266,242403423,,1
111111111181,10,1154.0,67.1,430,472,300014732,,1
12une Alt,10,1154.0,27.9,255,256,215075832,,1
12une Arr0w,10,1195.6,59.75,626,632,90540652,,1
12une Ax,10,1154.0,3.4,353,365,157667443,,1
12une Axe,10,1154.0,3.4,157,157,200001154,,1
12une Plate,10,1154.0,27.9,822,832,123090952,620,1
1ron Newb,10,1154.0,3.4,472,514,800001155,,1
222222222212,10,1154.0,3.4,234,276,400001154,,1
516165165133,10,1154.0,23.15,853,853,3012976,845,10
5551,10,1154.0,67.1,332,395,366832525,,1
62k,10,1154.0,3.4,234,276,400001154,,1
8XL,10,1251.1,116.1,2393,2396,282260426,1935,7
9 Hit_Point,9,1073.5,3.4,1654,1657,122154827,2190,60
9 HP,9,1020.4,17.9,2180,2467,2243529721,5160,25
9 LP,9,1150.3,115.85,2814,3034,1459216562,5985,124
999999999989,10,1154.0,40.15,528,570,396937914,,1
9HP Flexy,9,1057.5,65.0,1744,1744,54563171,1330,7
9HP Keit,9,1091.5,105.3,1710,1710,80186453,2235,33
9HP Velma,9,1000.0,3.15,816,816,41307979,880,30
AlittleGlenn,10,1273.6,72.1,1858,1874,128323378,2865,43
Andy Grammer,10,1333.0,78.75,1882,1882,97057887,2375,47
Blacksmith,9,1125.0,75.25,1871,1871,57217840,1980,31
braker,10,1154.0,28.425,1544,1544,50524312,1970,13
Brtyl,10,1185.4,105.9,2571,2589,314300420,5740,171
Buy Keys,12,1804.1,73.2,1434,1434,15262897,1565,20
Chaos 12une,10,1154.0,67.1,332,344,61499985,,1
Charmseeker,10,1154.0,15.65,2133,2223,756961250,6210,134
Cordious,10,1176.0,125.85,2916,3134,2091273736,10780,317
Crodious,10,1203.5,116.1,2810,3281,5400001203,12425,342
Crushlyre305,10,1255.2,46.8,1680,1694,101288596,1545,51
Delectation,9,1000.0,3.15,1547,1547,64654733,2210,158
Ectomancy,9,1047.3,115.85,2837,2839,644079042,4005,85
Elfen Lied,10,1224.0,115.6,2562,2563,303255434,3950,211
Entrophy,10,1230.4,94.9,1798,1806,76128497,1755,19
Evil 9HP,9,1000.0,3.15,1236,1236,59266044,815,1
f2p construc,10,1154.0,55.2,364,364,31263545,,1
Faithful Guy,10,1259.3,103.1,1581,1613,214316578,1455,25
Hufflepuff,9,1000.0,84.0,1636,1636,32306874,3460,129
Im 10 HP,10,1348.2,114.6,2332,2362,315941892,2165,71
iSum,10,1154.0,15.65,1838,1864,268332174,1175,1
Lets Test,13,1964.6,66.7,1345,1345,19278644,1445,125
Mihawk,10,1356.5,125.85,2923,3394,5459203520,10855,244
My Own Prism,10,1167.0,47.5,997,1000,28451649,715,1
Naiked,10,1154.0,35.25,1697,1717,257978214,1585,1
Nephograph,10,1178.0,95.5,2239,2239,141492156,2270,36
Ninelocke,9,1008.7,3.15,1794,1794,154316923,1435,38
Not Too Far,11,1391.8,116.35,2533,2581,481906752,4315,124
Nuxe,10,1154.0,3.4,1175,1175,35799363,1470,7
Oddest Prime,2,125.3,2.375,1378,1378,61582873,1800,27
Ohmeni,10,1154.0,116.1,2614,2740,926165043,3590,88
Omeni,13,1851.6,101.6,2169,2175,122598094,3305,149
Omeni II,9,1032.0,69.75,1232,1232,26051782,990,4
Opuru,10,1154.0,13.5,545,545,568184,625,31
pet,10,1185.0,116.1,2900,3301,4267776745.0,8680,
Pocket Cucco,10,1178.1,116.1,2835,2965,1379240923,10625,318
Poignant,10,1210.5,50.55,1603,1603,41330964,1710,28
Rusty Romeo,9,1054.0,94.4,2234,2245,139605964,8400,343
S0C,10,1154.0,116.1,2740,2829,944722934,2675,8
Sir Komsyze,9,1089.1,115.85,2814,3017,1594495438,4910,136
SNHU,10,1154.0,27.9,1223,1228,29914222,1115,20
So Close,14,2263.8,117.1,2772,2911,1412900962,4770,258
Strong ideas,10,1171.2,4.375,701,701,1838039,1115,17
Tackle3555,10,1154.0,3.4,671,671,1536027,700,15
Team Magma,9,1000.0,3.15,1065,1065,8612513,1270,24
Testy Romeo,10,1154.0,19.15,1991,1991,246051357,7935,201
The Air Vent,10,1211.4,67.1,696,701,54202487,610,7
Toasty Romeo,9,1000.0,122.65,2751,2755,470004609,20350,428
Tranquility,10,1154.0,3.4,1014,1014,22451207,905,4
USEDTOBELAW,9,1137.7,63.35,1726,1726,23335890,2250,79
Way Too Far,10,1300.5,116.1,2749,2838,1202105172,6690,150
Who,9,1140.8,118.45,2911,3172,2743962530,8615,230
Wise Old So,10,1154.0,27.9,430,448,86599808,,1
wise old to,10,1154.0,35.25,136,137,14747331,,1
Wise Old You,10,1154.0,5.35,142,163,106156749,,1
Wisped,10,1185.7,42.9,1791,1812,181756030,1460,10
Z w a y,10,1154.0,94.85,2043,2043,95522549,3275,57
